Time,           Sunday,                Monday,                      Tuesday,             Wednesday,              Thursday
8:30 - 12:00 NN,Indepent Study,        Independent Study,           Independent Study,   Independent Study,      Independent Study
12:00 - 1:00 PM,Lunch Break,           Lunch Break,                 Lunch Break,         Lunch Break,            Lunch Break
1:00 - 1:20 PM, Virtual Homeroom,      Virtual Homeroom,            Virtual Homeroom,    Virtual Homeroom,       Virtual Homeroom
1:20 - 2:00 PM, General Mathematics,   21st Century Literature,     Earth Science,       21st Century Literature,Personal Development
2:00 - 2:15 PM, 15 Minute Transition,  15 Minute Transition,        15 Minute Transition,15 Minute Transition,   15 Minute Transition
2:15 - 2:55 PM, Empowerment Technology,Earth Science,               General Mathematics, Empowerment Technology, General Chemistry I
2:55 - 3:10 PM, 15 Minute Transition,  15 Minute Transition,        15 Minute Transition,15 Minute Transition,   15 Minute Transition
3:10 - 3:50 PM, Arabic,                Pre Calculus,                Pre Calculus,        Pre Calculus,           PE & Health I
3:50 - 4:05 PM, 15 Minute Transition,  15 Minute Transition,        15 Minute Transition,15 Minute Transition,   15 Minute Transition
4:05 - 4:45 PM, General Chemistry I,   Komunikasyon at Pananaliksik,Personal Development,General Chemistry I,    Komunikasyon at Pananaliksik
4:45 - 5:30 PM, Consultation Time,     Consultation Time,           Consultation Time,   Consultation Time,      Consultation Time
